,Apples,Bananas,Beef,Bread,Butter,Cereal,Cheese,Chicken,Chips,Cookies,Detergent,Eggs,Fish,Juice,Milk,Onions,Pasta,Potatoes,Rice,Shampoo,Soap,Soda,Tomatoes,Toothpaste,Water,Yogurt
Apples,1.0,1.4462809917355375,1.4462809917355375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4354066985645932,1.3986013986013988
Bananas,1.4462809917355375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4462809917355375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.3986013986013988
Beef,1.4462809917355375,0.0,1.0,0.0,0.0,0.0,0.0,1.6746411483253592,1.3636363636363635,0.0,3.174603174603175,0.0,0.0,0.0,1.8181818181818183,0.0,3.0303030303030307,0.0,0.0,1.3636363636363635,1.272727272727273,0.0,1.8181818181818183,0.0,0.0,0.0
Bread,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047619047619049,1.6666666666666667,1.590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butter,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.339181286549708,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,1.7045454545454546,0.0,0.0,1.5350877192982457,0.0,0.0,1.875,0.0,1.25,0.0,0.0,0.0,0.0
Cereal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8571428571428568,0.0,0.0,0.0,0.0,0.0,1.4492753623188404,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.0,0.0,1.767676767676768,0.0,0.0
Cheese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7543859649122808,0.0
Chicken,0.0,0.0,1.6746411483253592,0.0,2.339181286549708,0.0,0.0,1.0,2.8571428571428568,0.0,0.0,1.7543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,1.644736842105263,1.5789473684210527,0.0,0.0,0.0,1.4354066985645932,0.0,0.0
Chips,0.0,0.0,1.3636363636363635,0.0,1.6666666666666667,0.0,0.0,2.8571428571428568,1.0,0.0,0.0,0.0,1.590909090909091,0.0,0.0,0.0,1.5789473684210527,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.3636363636363635,0.0,0.0
Cookies,0.0,0.0,0.0,0.0,2.2222222222222223,2.8571428571428568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3043478260869563,0.0,0.0,0.0,1.9999999999999998,1.2,1.4999999999999998,1.6666666666666667,2.8571428571428568,0.0,0.0
Detergent,0.0,0.0,3.174603174603175,1.9047619047619049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015874,0.0,1.5037593984962405,0.0
Eggs,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,1.7543859649122806,0.0,0.0,1.5873015873015872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish,0.0,0.0,0.0,1.590909090909091,0.0,0.0,0.0,0.0,1.590909090909091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7045454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juice,0.0,1.4462809917355375,0.0,0.0,1.7045454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0
Milk,1.8181818181818183,0.0,1.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4492753623188406,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,0.0,0.0
Onions,0.0,0.0,0.0,0.0,0.0,1.4492753623188404,1.7391304347826086,0.0,0.0,1.3043478260869563,0.0,0.0,0.0,0.0,1.4492753623188406,1.0,0.0,1.4492753623188406,0.0,1.3043478260869563,1.2173913043478262,0.0,0.0,2.898550724637681,0.0,0.0
Pasta,0.0,0.0,3.0303030303030307,0.0,1.5350877192982457,0.0,0.0,0.0,1.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potatoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4492753623188406,0.0,1.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0
Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644736842105263,0.0,0.0,0.0,0.0,1.7045454545454546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shampoo,0.0,0.0,1.3636363636363635,0.0,1.875,1.6666666666666667,0.0,1.5789473684210527,0.0,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.3043478260869563,0.0,0.0,0.0,1.0,1.4000000000000001,0.0,0.0,1.3636363636363635,0.0,0.0
Soap,0.0,2.0,1.272727272727273,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.3333333333333335,1.2173913043478262,0.0,2.4,0.0,1.4000000000000001,1.0,1.5999999999999999,1.3333333333333335,0.0,1.473684210526316,2.0
Soda,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.4999999999999998,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,1.0,0.0,0.0,0.0,0.0
Tomatoes,0.0,0.0,1.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.5873015873015874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,1.0,1.8181818181818183,0.0,0.0
Toothpaste,0.0,0.0,0.0,0.0,0.0,1.767676767676768,0.0,1.4354066985645932,1.3636363636363635,2.8571428571428568,0.0,0.0,0.0,0.0,0.0,2.898550724637681,0.0,0.0,0.0,1.3636363636363635,0.0,0.0,1.8181818181818183,1.0,1.4354066985645932,0.0
Water,1.4354066985645932,0.0,0.0,0.0,0.0,0.0,1.7543859649122808,0.0,0.0,0.0,1.5037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473684210526316,0.0,0.0,1.4354066985645932,1.0,0.0
Yogurt,1.3986013986013988,1.3986013986013988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
