item,almonds,antioxydant juice,asparagus,avocado,babies food,bacon,barbecue sauce,black tea,blueberries,body spray,bramble,brownies,bug spray,burger sauce,burgers,butter,cake,candy bars,carrots,cauliflower,cereals,champagne,chicken,chili,chocolate,chocolate bread,chutney,cider,clothes accessories,cookies,cooking oil,corn,cottage cheese,cream,dessert wine,eggplant,eggs,energy bar,energy drink,escalope,extra dark chocolate,flax seed,french fries,french wine,fresh bread,fresh tuna,fromage blanc,frozen smoothie,frozen vegetables,gluten free bar,grated cheese,green beans,green grapes,green tea,ground beef,gums,ham,hand protein bar,herb & pepper,honey,hot dogs,ketchup,light cream,light mayo,low fat yogurt,magazines,mashed potato,mayonnaise,meatballs,melons,milk,mineral water,mint,mint green tea,muffins,mushroom cream sauce,napkins,nonfat milk,oatmeal,oil,olive oil,pancakes,parmesan cheese,pasta,pepper,pet food,pickles,protein bar,red wine,rice,salad,salmon,salt,sandwich,shallot,shampoo,shrimp,soda,soup,spaghetti,sparkling water,spinach,strawberries,strong cheese,tea,tomato juice,tomato sauce,tomatoes,toothpaste,turkey,vegetables mix,water spray,white wine,whole weat flour,whole wheat pasta,whole wheat rice,yams,yogurt cake,zucchini
almonds,1.0,0.006535947712418301,0.0,0.08496732026143791,0.0,0.013071895424836602,0.026143790849673203,0.0457516339869281,0.013071895424836602,0.013071895424836602,0.0,0.032679738562091505,0.026143790849673203,0.0,0.2549019607843137,0.0392156862745098,0.1503267973856209,0.006535947712418301,0.0457516339869281,0.006535947712418301,0.05228758169934641,0.032679738562091505,0.11764705882352941,0.013071895424836602,0.29411764705882354,0.0,0.006535947712418301,0.006535947712418301,0.0196078431372549,0.058823529411764705,0.08496732026143791,0.013071895424836602,0.0392156862745098,0.006535947712418301,0.0,0.0196078431372549,0.3202614379084967,0.0392156862745098,0.0392156862745098,0.06535947712418301,0.013071895424836602,0.013071895424836602,0.21568627450980393,0.06535947712418301,0.0915032679738562,0.0784313725490196,0.0392156862745098,0.13725490196078433,0.1503267973856209,0.013071895424836602,0.08496732026143791,0.013071895424836602,0.0392156862745098,0.24836601307189543,0.1895424836601307,0.0196078431372549,0.0392156862745098,0.006535947712418301,0.06535947712418301,0.0718954248366013,0.032679738562091505,0.0,0.006535947712418301,0.0457516339869281,0.09803921568627451,0.006535947712418301,0.0196078431372549,0.013071895424836602,0.058823529411764705,0.013071895424836602,0.2549019607843137,0.37254901960784315,0.0392156862745098,0.0,0.0196078431372549,0.006535947712418301,0.006535947712418301,0.0196078431372549,0.006535947712418301,0.032679738562091505,0.1437908496732026,0.1503267973856209,0.0457516339869281,0.006535947712418301,0.0457516339869281,0.006535947712418301,0.006535947712418301,0.0392156862745098,0.05228758169934641,0.026143790849673203,0.013071895424836602,0.06535947712418301,0.0,0.0,0.0,0.006535947712418301,0.1111111111111111,0.013071895424836602,0.1111111111111111,0.29411764705882354,0.006535947712418301,0.013071895424836602,0.032679738562091505,0.0392156862745098,0.0,0.0457516339869281,0.0457516339869281,0.11764705882352941,0.0,0.058823529411764705,0.05228758169934641,0.0,0.013071895424836602,0.0196078431372549,0.05228758169934641,0.0915032679738562,0.026143790849673203,0.032679738562091505,0.006535947712418301
antioxydant juice,0.014925373134328358,1.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.04477611940298507,0.0,0.029850746268656716,0.05970149253731343,0.04477611940298507,0.04477611940298507,0.0,0.014925373134328358,0.014925373134328358,0.16417910447761194,0.029850746268656716,0.07462686567164178,0.0,0.16417910447761194,0.04477611940298507,0.0,0.0,0.014925373134328358,0.05970149253731343,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.0,0.0,0.029850746268656716,0.08955223880597014,0.014925373134328358,0.05970149253731343,0.11940298507462686,0.014925373134328358,0.014925373134328358,0.26865671641791045,0.04477611940298507,0.07462686567164178,0.014925373134328358,0.014925373134328358,0.13432835820895522,0.13432835820895522,0.014925373134328358,0.04477611940298507,0.0,0.029850746268656716,0.22388059701492538,0.1044776119402985,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.04477611940298507,0.029850746268656716,0.0,0.029850746268656716,0.04477611940298507,0.1044776119402985,0.014925373134328358,0.0,0.014925373134328358,0.04477611940298507,0.0,0.1044776119402985,0.29850746268656714,0.014925373134328358,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.11940298507462686,0.07462686567164178,0.029850746268656716,0.029850746268656716,0.04477611940298507,0.0,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.04477611940298507,0.0,0.0,0.014925373134328358,0.029850746268656716,0.07462686567164178,0.0,0.0,0.13432835820895522,0.029850746268656716,0.04477611940298507,0.0,0.0,0.0,0.04477611940298507,0.0,0.1044776119402985,0.0,0.029850746268656716,0.05970149253731343,0.0,0.029850746268656716,0.04477611940298507,0.07462686567164178,0.029850746268656716,0.014925373134328358,0.014925373134328358,0.0
asparagus,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.0,0.2777777777777778,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.16666666666666666,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.0,0.25,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.08333333333333333,0.08333333333333333,0.0,0.05555555555555555,0.027777777777777776,0.0,0.16666666666666666,0.1111111111111111,0.0,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.1111111111111111,0.0,0.0,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.2777777777777778,0.4444444444444444,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.1388888888888889,0.1388888888888889,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.0,0.0,0.08333333333333333,0.027777777777777776,0.16666666666666666,0.19444444444444445,0.027777777777777776,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776
avocado,0.052,0.012,0.008,1.0,0.008,0.012,0.02,0.036,0.012,0.032,0.004,0.056,0.012,0.004,0.136,0.056,0.128,0.004,0.024,0.008,0.044,0.048,0.08,0.004,0.212,0.012,0.004,0.02,0.012,0.068,0.06,0.012,0.064,0.0,0.008,0.008,0.168,0.04,0.04,0.048,0.0,0.012,0.24,0.02,0.064,0.06,0.024,0.152,0.14,0.012,0.076,0.012,0.028,0.188,0.112,0.024,0.036,0.012,0.048,0.096,0.028,0.008,0.024,0.036,0.068,0.024,0.008,0.004,0.04,0.04,0.224,0.348,0.004,0.008,0.028,0.008,0.004,0.004,0.004,0.056,0.104,0.132,0.036,0.012,0.028,0.008,0.004,0.032,0.056,0.04,0.004,0.068,0.02,0.0,0.0,0.012,0.092,0.004,0.132,0.24,0.016,0.016,0.02,0.004,0.008,0.044,0.012,0.104,0.032,0.112,0.032,0.0,0.028,0.02,0.048,0.116,0.036,0.032,0.028
babies food,0.0,0.0,0.0,0.058823529411764705,1.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.38235294117647056,0.0,0.0,0.0,0.0,0.20588235294117646,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.0,0.0,0.08823529411764706,0.0,0.058823529411764705,0.17647058823529413,0.0,0.08823529411764706,0.0,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.0,0.0,0.08823529411764706,0.058823529411764705,0.0,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.14705882352941177,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.058823529411764705,0.17647058823529413,0.0,0.08823529411764706,0.14705882352941177,0.0,0.0,0.08823529411764706,0.029411764705882353,0.0,0.08823529411764706,0.029411764705882353,0.058823529411764705,0.0,0.08823529411764706,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.029411764705882353
bacon,0.03076923076923077,0.0,0.0,0.046153846153846156,0.0,1.0,0.13846153846153847,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.0,0.07692307692307693,0.015384615384615385,0.0,0.23076923076923078,0.09230769230769231,0.1076923076923077,0.0,0.046153846153846156,0.0,0.03076923076923077,0.046153846153846156,0.13846153846153847,0.0,0.23076923076923078,0.015384615384615385,0.0,0.046153846153846156,0.0,0.046153846153846156,0.18461538461538463,0.015384615384615385,0.06153846153846154,0.0,0.0,0.09230769230769231,0.3384615384615385,0.015384615384615385,0.0,0.046153846153846156,0.046153846153846156,0.015384615384615385,0.26153846153846155,0.046153846153846156,0.015384615384615385,0.046153846153846156,0.046153846153846156,0.07692307692307693,0.12307692307692308,0.015384615384615385,0.09230769230769231,0.0,0.0,0.24615384615384617,0.24615384615384617,0.015384615384615385,0.03076923076923077,0.0,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.1076923076923077,0.03076923076923077,0.015384615384615385,0.0,0.06153846153846154,0.03076923076923077,0.23076923076923078,0.35384615384615387,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0.046153846153846156,0.13846153846153847,0.24615384615384617,0.046153846153846156,0.0,0.07692307692307693,0.046153846153846156,0.0,0.015384615384615385,0.12307692307692308,0.046153846153846156,0.0,0.07692307692307693,0.03076923076923077,0.0,0.0,0.046153846153846156,0.06153846153846154,0.03076923076923077,0.07692307692307693,0.36923076923076925,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.0,0.015384615384615385,0.046153846153846156,0.06153846153846154,0.07692307692307693,0.03076923076923077,0.13846153846153847,0.015384615384615385,0.0,0.03076923076923077,0.015384615384615385,0.1076923076923077,0.15384615384615385,0.03076923076923077,0.06153846153846154,0.015384615384615385
barbecue sauce,0.04938271604938271,0.0,0.012345679012345678,0.06172839506172839,0.012345679012345678,0.1111111111111111,1.0,0.06172839506172839,0.0,0.012345679012345678,0.0,0.024691358024691357,0.0,0.024691358024691357,0.18518518518518517,0.1111111111111111,0.09876543209876543,0.0,0.037037037037037035,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.07407407407407407,0.024691358024691357,0.16049382716049382,0.012345679012345678,0.0,0.012345679012345678,0.024691358024691357,0.08641975308641975,0.1111111111111111,0.0,0.037037037037037035,0.0,0.012345679012345678,0.06172839506172839,0.3333333333333333,0.04938271604938271,0.012345679012345678,0.08641975308641975,0.0,0.0,0.16049382716049382,0.024691358024691357,0.07407407407407407,0.037037037037037035,0.012345679012345678,0.08641975308641975,0.18518518518518517,0.0,0.024691358024691357,0.012345679012345678,0.037037037037037035,0.20987654320987653,0.19753086419753085,0.012345679012345678,0.024691358024691357,0.0,0.06172839506172839,0.012345679012345678,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.024691358024691357,0.09876543209876543,0.0,0.012345679012345678,0.0,0.012345679012345678,0.037037037037037035,0.18518518518518517,0.35802469135802467,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.07407407407407407,0.024691358024691357,0.18518518518518517,0.012345679012345678,0.0,0.04938271604938271,0.024691358024691357,0.0,0.037037037037037035,0.04938271604938271,0.037037037037037035,0.012345679012345678,0.037037037037037035,0.04938271604938271,0.0,0.0,0.012345679012345678,0.12345679012345678,0.012345679012345678,0.12345679012345678,0.16049382716049382,0.037037037037037035,0.012345679012345678,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.04938271604938271,0.037037037037037035,0.2345679012345679,0.04938271604938271,0.0,0.037037037037037035,0.037037037037037035,0.06172839506172839,0.07407407407407407,0.024691358024691357,0.037037037037037035,0.0
black tea,0.06542056074766354,0.0,0.0,0.08411214953271028,0.009345794392523364,0.018691588785046728,0.04672897196261682,1.0,0.018691588785046728,0.0,0.009345794392523364,0.037383177570093455,0.018691588785046728,0.009345794392523364,0.1588785046728972,0.028037383177570093,0.1308411214953271,0.0,0.028037383177570093,0.009345794392523364,0.04672897196261682,0.04672897196261682,0.12149532710280374,0.009345794392523364,0.19626168224299065,0.009345794392523364,0.018691588785046728,0.018691588785046728,0.009345794392523364,0.056074766355140186,0.06542056074766354,0.0,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.037383177570093455,0.34579439252336447,0.037383177570093455,0.028037383177570093,0.06542056074766354,0.04672897196261682,0.028037383177570093,0.09345794392523364,0.09345794392523364,0.056074766355140186,0.06542056074766354,0.018691588785046728,0.102803738317757,0.102803738317757,0.009345794392523364,0.037383177570093455,0.009345794392523364,0.0,0.205607476635514,0.1588785046728972,0.009345794392523364,0.056074766355140186,0.0,0.14018691588785046,0.06542056074766354,0.0,0.0,0.018691588785046728,0.037383177570093455,0.056074766355140186,0.009345794392523364,0.028037383177570093,0.018691588785046728,0.009345794392523364,0.018691588785046728,0.29906542056074764,0.37383177570093457,0.037383177570093455,0.009345794392523364,0.018691588785046728,0.009345794392523364,0.0,0.018691588785046728,0.009345794392523364,0.04672897196261682,0.12149532710280374,0.16822429906542055,0.056074766355140186,0.0,0.08411214953271028,0.0,0.0,0.028037383177570093,0.06542056074766354,0.04672897196261682,0.0,0.09345794392523364,0.028037383177570093,0.0,0.009345794392523364,0.009345794392523364,0.14018691588785046,0.0,0.09345794392523364,0.3177570093457944,0.009345794392523364,0.018691588785046728,0.018691588785046728,0.037383177570093455,0.0,0.028037383177570093,0.018691588785046728,0.09345794392523364,0.028037383177570093,0.14018691588785046,0.056074766355140186,0.0,0.0,0.0,0.08411214953271028,0.102803738317757,0.018691588785046728,0.04672897196261682,0.009345794392523364
blueberries,0.028985507246376812,0.0,0.0,0.043478260869565216,0.0,0.028985507246376812,0.0,0.028985507246376812,1.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.07246376811594203,0.10144927536231885,0.014492753623188406,0.08695652173913043,0.0,0.028985507246376812,0.0,0.057971014492753624,0.07246376811594203,0.13043478260869565,0.028985507246376812,0.2318840579710145,0.014492753623188406,0.0,0.0,0.014492753623188406,0.08695652173913043,0.13043478260869565,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.2318840579710145,0.0,0.0,0.18840579710144928,0.014492753623188406,0.0,0.13043478260869565,0.0,0.08695652173913043,0.028985507246376812,0.043478260869565216,0.10144927536231885,0.10144927536231885,0.0,0.15942028985507245,0.014492753623188406,0.0,0.18840579710144928,0.2608695652173913,0.028985507246376812,0.07246376811594203,0.014492753623188406,0.08695652173913043,0.08695652173913043,0.057971014492753624,0.0,0.11594202898550725,0.014492753623188406,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.15942028985507245,0.391304347826087,0.014492753623188406,0.0,0.028985507246376812,0.014492753623188406,0.0,0.043478260869565216,0.014492753623188406,0.07246376811594203,0.15942028985507245,0.15942028985507245,0.028985507246376812,0.0,0.057971014492753624,0.014492753623188406,0.0,0.028985507246376812,0.07246376811594203,0.057971014492753624,0.0,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.08695652173913043,0.014492753623188406,0.14492753623188406,0.37681159420289856,0.0,0.014492753623188406,0.014492753623188406,0.0,0.028985507246376812,0.014492753623188406,0.057971014492753624,0.10144927536231885,0.028985507246376812,0.10144927536231885,0.028985507246376812,0.0,0.028985507246376812,0.028985507246376812,0.08695652173913043,0.10144927536231885,0.0,0.043478260869565216,0.0
body spray,0.023255813953488372,0.011627906976744186,0.011627906976744186,0.09302325581395349,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0,1.0,0.0,0.08139534883720931,0.011627906976744186,0.011627906976744186,0.11627906976744186,0.06976744186046512,0.09302325581395349,0.0,0.0,0.0,0.011627906976744186,0.06976744186046512,0.09302325581395349,0.0,0.19767441860465115,0.023255813953488372,0.011627906976744186,0.011627906976744186,0.0,0.03488372093023256,0.046511627906976744,0.011627906976744186,0.046511627906976744,0.0,0.0,0.0,0.19767441860465115,0.05813953488372093,0.09302325581395349,0.06976744186046512,0.011627906976744186,0.011627906976744186,0.37209302325581395,0.011627906976744186,0.05813953488372093,0.011627906976744186,0.023255813953488372,0.08139534883720931,0.06976744186046512,0.03488372093023256,0.05813953488372093,0.03488372093023256,0.011627906976744186,0.19767441860465115,0.08139534883720931,0.05813953488372093,0.03488372093023256,0.0,0.011627906976744186,0.09302325581395349,0.05813953488372093,0.0,0.011627906976744186,0.06976744186046512,0.046511627906976744,0.0,0.0,0.011627906976744186,0.0,0.023255813953488372,0.08139534883720931,0.36046511627906974,0.023255813953488372,0.011627906976744186,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.03488372093023256,0.011627906976744186,0.1744186046511628,0.011627906976744186,0.011627906976744186,0.03488372093023256,0.011627906976744186,0.0,0.03488372093023256,0.046511627906976744,0.046511627906976744,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.06976744186046512,0.023255813953488372,0.16279069767441862,0.23255813953488372,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.0,0.0,0.0,0.011627906976744186,0.09302325581395349,0.011627906976744186,0.05813953488372093,0.03488372093023256,0.0,0.0,0.023255813953488372,0.09302325581395349,0.03488372093023256,0.0,0.023255813953488372,0.0
