item,&,accessories,almonds,antioxydant,asparagus,avocado,babies,bacon,bar,barbecue,bars,beans,beef,black,blanc,blueberries,body,bramble,bread,brownies,bug,burger,burgers,butter,cake,candy,carrots,cauliflower,cereals,champagne,cheese,chicken,chili,chocolate,chutney,cider,clothes,cookies,cooking,corn,cottage,cream,dark,dessert,dogs,drink,eggplant,eggs,energy,escalope,extra,fat,flax,flour,food,free,french,fresh,fries,fromage,frozen,gluten,grapes,grated,green,ground,gums,ham,hand,herb,honey,hot,juice,ketchup,light,low,magazines,mashed,mayo,mayonnaise,meatballs,melons,milk,mineral,mint,mix,muffins,mushroom,napkins,nonfat,oatmeal,oil,olive,pancakes,parmesan,pasta,pepper,pet,pickles,potato,protein,red,rice,salad,salmon,salt,sandwich,sauce,seed,shallot,shampoo,shrimp,smoothie,soda,soup,spaghetti,sparkling,spinach,spray,strawberries,strong,tea,tomato,tomatoes,toothpaste,tuna,turkey,vegetables,water,weat,wheat,white,whole,wine,yams,yogurt,zucchini
&,1.0,0.026954177897574125,0.026954177897574125,0.005390835579514825,0.005390835579514825,0.03234501347708895,0.0026954177897574125,0.0215633423180593,0.05929919137466307,0.013477088948787063,0.01078167115902965,0.008086253369272238,0.32345013477088946,0.04043126684636118,0.005390835579514825,0.016172506738544475,0.0026954177897574125,0.005390835579514825,0.06199460916442048,0.03773584905660377,0.005390835579514825,0.016172506738544475,0.08355795148247978,0.02425876010781671,0.12129380053908356,0.01078167115902965,0.03504043126684636,0.005390835579514825,0.0646900269541779,0.04043126684636118,0.18059299191374664,0.09973045822102426,0.018867924528301886,0.20485175202156333,0.005390835579514825,0.0215633423180593,0.026954177897574125,0.04851752021563342,0.1078167115902965,0.01078167115902965,0.02425876010781671,0.0673854447439353,0.02425876010781671,0.008086253369272238,0.03773584905660377,0.005390835579514825,0.0215633423180593,0.25336927223719674,0.0215633423180593,0.07277628032345014,0.02425876010781671,0.11859838274932614,0.013477088948787063,0.02425876010781671,0.01078167115902965,0.0026954177897574125,0.15902964959568733,0.09433962264150944,0.14016172506738545,0.005390835579514825,0.18867924528301888,0.0026954177897574125,0.005390835579514825,0.1320754716981132,0.14285714285714285,0.32345013477088946,0.0215633423180593,0.04043126684636118,0.0,1.0,0.0646900269541779,0.03773584905660377,0.05121293800539083,0.0,0.05660377358490566,0.11859838274932614,0.018867924528301886,0.0,0.013477088948787063,0.008086253369272238,0.02425876010781671,0.01078167115902965,0.1940700808625337,0.3450134770889488,0.03504043126684636,0.02425876010781671,0.026954177897574125,0.018867924528301886,0.005390835579514825,0.013477088948787063,0.01078167115902965,0.22371967654986524,0.10242587601078167,0.14824797843665768,0.03504043126684636,0.08355795148247978,1.0,0.008086253369272238,0.013477088948787063,0.0,0.04043126684636118,0.04851752021563342,0.12668463611859837,0.0026954177897574125,0.07816711590296496,0.01078167115902965,0.005390835579514825,0.09433962264150944,0.013477088948787063,0.0,0.008086253369272238,0.14285714285714285,0.07547169811320754,0.005390835579514825,0.07277628032345014,0.3288409703504043,0.0026954177897574125,0.013477088948787063,0.008086253369272238,0.01078167115902965,0.005390835579514825,0.1725067385444744,0.09433962264150944,0.0889487870619946,0.0215633423180593,0.03234501347708895,0.09703504043126684,0.14285714285714285,0.3477088948787062,0.02425876010781671,0.1293800539083558,0.02425876010781671,0.1509433962264151,0.09703504043126684,0.026954177897574125,0.14824797843665768,0.016172506738544475
accessories,0.15873015873015872,1.0,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.0,0.0,0.06349206349206349,0.031746031746031744,0.0,0.015873015873015872,0.15873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0,0.12698412698412698,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.031746031746031744,0.1111111111111111,0.0,0.031746031746031744,0.0,0.031746031746031744,0.047619047619047616,0.20634920634920634,0.06349206349206349,0.0,0.25396825396825395,0.0,0.015873015873015872,1.0,0.09523809523809523,0.015873015873015872,0.0,0.047619047619047616,0.031746031746031744,0.047619047619047616,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.14285714285714285,0.015873015873015872,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.2857142857142857,0.15873015873015872,0.2222222222222222,0.015873015873015872,0.2222222222222222,0.015873015873015872,0.0,0.06349206349206349,0.30158730158730157,0.15873015873015872,0.047619047619047616,0.0,0.015873015873015872,0.15873015873015872,0.031746031746031744,0.047619047619047616,0.06349206349206349,0.031746031746031744,0.031746031746031744,0.09523809523809523,0.015873015873015872,0.0,0.0,0.0,0.031746031746031744,0.0,0.20634920634920634,0.31746031746031744,0.07936507936507936,0.047619047619047616,0.0,0.0,0.0,0.015873015873015872,0.0,0.15873015873015872,0.07936507936507936,0.14285714285714285,0.06349206349206349,0.047619047619047616,0.19047619047619047,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.2222222222222222,0.015873015873015872,0.07936507936507936,0.031746031746031744,0.0,0.09523809523809523,0.015873015873015872,0.0,0.0,0.19047619047619047,0.14285714285714285,0.0,0.07936507936507936,0.19047619047619047,0.0,0.0,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.2857142857142857,0.09523809523809523,0.07936507936507936,0.0,0.047619047619047616,0.031746031746031744,0.19047619047619047,0.31746031746031744,0.015873015873015872,0.15873015873015872,0.031746031746031744,0.1746031746031746,0.14285714285714285,0.015873015873015872,0.12698412698412698,0.0
almonds,0.06535947712418301,0.0196078431372549,1.0,0.006535947712418301,0.0,0.08496732026143791,0.0,0.013071895424836602,0.09803921568627451,0.026143790849673203,0.006535947712418301,0.013071895424836602,0.1895424836601307,0.0457516339869281,0.0392156862745098,0.013071895424836602,0.013071895424836602,0.0,0.0915032679738562,0.032679738562091505,0.026143790849673203,0.0,0.2549019607843137,0.0392156862745098,0.1830065359477124,0.006535947712418301,0.0457516339869281,0.006535947712418301,0.05228758169934641,0.032679738562091505,0.20915032679738563,0.11764705882352941,0.013071895424836602,0.30718954248366015,0.006535947712418301,0.006535947712418301,0.0196078431372549,0.058823529411764705,0.08496732026143791,0.013071895424836602,0.0392156862745098,0.0196078431372549,0.013071895424836602,0.0,0.032679738562091505,0.0392156862745098,0.0196078431372549,0.3202614379084967,0.0784313725490196,0.06535947712418301,0.013071895424836602,0.09803921568627451,0.013071895424836602,0.0196078431372549,0.006535947712418301,0.013071895424836602,0.2679738562091503,0.1568627450980392,0.21568627450980393,0.0392156862745098,0.2549019607843137,0.013071895424836602,0.0392156862745098,0.08496732026143791,0.28104575163398693,0.1895424836601307,0.0196078431372549,0.0392156862745098,0.006535947712418301,0.06535947712418301,0.0718954248366013,0.032679738562091505,0.0457516339869281,0.0,0.05228758169934641,0.09803921568627451,0.006535947712418301,0.0196078431372549,0.0457516339869281,0.013071895424836602,0.058823529411764705,0.013071895424836602,0.2679738562091503,0.37254901960784315,0.0392156862745098,0.05228758169934641,0.0196078431372549,0.006535947712418301,0.006535947712418301,0.0196078431372549,0.006535947712418301,0.23529411764705882,0.1437908496732026,0.1503267973856209,0.0457516339869281,0.058823529411764705,0.10457516339869281,0.006535947712418301,0.006535947712418301,0.0196078431372549,0.0457516339869281,0.05228758169934641,0.11764705882352941,0.013071895424836602,0.06535947712418301,0.0,0.0,0.0784313725490196,0.013071895424836602,0.0,0.006535947712418301,0.1111111111111111,0.13725490196078433,0.013071895424836602,0.1111111111111111,0.29411764705882354,0.006535947712418301,0.013071895424836602,0.0392156862745098,0.032679738562091505,0.0392156862745098,0.29411764705882354,0.08496732026143791,0.11764705882352941,0.0,0.0784313725490196,0.058823529411764705,0.19607843137254902,0.3790849673202614,0.0196078431372549,0.1437908496732026,0.013071895424836602,0.16339869281045752,0.13071895424836602,0.026143790849673203,0.13071895424836602,0.006535947712418301
antioxydant,0.029850746268656716,0.014925373134328358,0.014925373134328358,1.0,0.0,0.04477611940298507,0.0,0.0,0.07462686567164178,0.0,0.0,0.0,0.1044776119402985,0.0,0.014925373134328358,0.0,0.014925373134328358,0.0,0.11940298507462686,0.04477611940298507,0.0,0.029850746268656716,0.05970149253731343,0.04477611940298507,0.05970149253731343,0.0,0.014925373134328358,0.014925373134328358,0.16417910447761194,0.029850746268656716,0.08955223880597014,0.07462686567164178,0.0,0.22388059701492538,0.0,0.0,0.014925373134328358,0.05970149253731343,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.0,0.029850746268656716,0.05970149253731343,0.029850746268656716,0.08955223880597014,0.07462686567164178,0.11940298507462686,0.014925373134328358,0.1044776119402985,0.014925373134328358,0.04477611940298507,0.0,0.014925373134328358,0.29850746268656714,0.08955223880597014,0.26865671641791045,0.014925373134328358,0.23880597014925373,0.014925373134328358,0.029850746268656716,0.04477611940298507,0.2537313432835821,0.1044776119402985,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.04477611940298507,0.029850746268656716,1.0,0.0,0.07462686567164178,0.1044776119402985,0.014925373134328358,0.0,0.04477611940298507,0.014925373134328358,0.04477611940298507,0.0,0.1044776119402985,0.29850746268656714,0.04477611940298507,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.16417910447761194,0.11940298507462686,0.07462686567164178,0.029850746268656716,0.1044776119402985,0.05970149253731343,0.0,0.014925373134328358,0.0,0.04477611940298507,0.014925373134328358,0.05970149253731343,0.014925373134328358,0.04477611940298507,0.0,0.0,0.029850746268656716,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.07462686567164178,0.13432835820895522,0.0,0.0,0.13432835820895522,0.029850746268656716,0.04477611940298507,0.014925373134328358,0.0,0.0,0.2537313432835821,0.04477611940298507,0.1044776119402985,0.0,0.014925373134328358,0.029850746268656716,0.19402985074626866,0.31343283582089554,0.04477611940298507,0.1044776119402985,0.029850746268656716,0.14925373134328357,0.07462686567164178,0.014925373134328358,0.11940298507462686,0.0
asparagus,0.05555555555555555,0.027777777777777776,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.027777777777777776,0.0,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.1111111111111111,0.08333333333333333,0.0,0.3055555555555556,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.16666666666666666,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.0,0.027777777777777776,0.0,0.0,0.2777777777777778,0.05555555555555555,0.25,0.0,0.1388888888888889,0.0,0.0,0.05555555555555555,0.19444444444444445,0.1111111111111111,0.0,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.1111111111111111,0.0,0.0,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.2777777777777778,0.4444444444444444,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.027777777777777776,0.19444444444444445,0.1388888888888889,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.027777777777777776,0.16666666666666666,0.19444444444444445,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.19444444444444445,0.05555555555555555,0.0,0.0,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.4722222222222222,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.0,0.1111111111111111,0.027777777777777776
avocado,0.048,0.012,0.052,0.012,0.008,1.0,0.008,0.012,0.084,0.02,0.004,0.012,0.112,0.036,0.024,0.012,0.032,0.004,0.072,0.056,0.012,0.004,0.136,0.056,0.156,0.004,0.024,0.008,0.044,0.048,0.168,0.08,0.004,0.224,0.004,0.02,0.012,0.068,0.06,0.012,0.064,0.032,0.0,0.008,0.028,0.04,0.008,0.168,0.08,0.048,0.0,0.068,0.012,0.02,0.016,0.012,0.256,0.116,0.24,0.024,0.252,0.012,0.028,0.076,0.228,0.112,0.024,0.036,0.012,0.048,0.096,0.028,0.048,0.008,0.06,0.068,0.024,0.008,0.036,0.004,0.04,0.04,0.224,0.348,0.012,0.032,0.028,0.008,0.004,0.004,0.004,0.22,0.104,0.132,0.036,0.06,0.076,0.008,0.004,0.008,0.04,0.056,0.152,0.004,0.068,0.02,0.0,0.044,0.012,0.0,0.012,0.092,0.152,0.004,0.132,0.24,0.016,0.016,0.044,0.02,0.004,0.216,0.056,0.104,0.032,0.06,0.112,0.172,0.364,0.02,0.156,0.028,0.168,0.112,0.036,0.096,0.028
babies,0.029411764705882353,0.0,0.0,0.0,0.0,0.058823529411764705,1.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.08823529411764706,0.0,0.058823529411764705,0.0,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.38235294117647056,0.0,0.0,0.0,0.20588235294117646,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.11764705882352941,0.0,0.08823529411764706,0.0,0.14705882352941177,0.058823529411764705,0.0,1.0,0.029411764705882353,0.17647058823529413,0.08823529411764706,0.17647058823529413,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.0,0.029411764705882353,0.08823529411764706,0.058823529411764705,0.0,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.058823529411764705,0.0,0.029411764705882353,0.0,0.058823529411764705,0.0,0.2647058823529412,0.11764705882352941,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.0,0.08823529411764706,0.14705882352941177,0.0,0.0,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.11764705882352941,0.058823529411764705,0.0,0.0,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,0.14705882352941177,0.029411764705882353
bacon,0.12307692307692308,0.0,0.03076923076923077,0.0,0.0,0.046153846153846156,0.0,1.0,0.03076923076923077,0.13846153846153847,0.0,0.0,0.24615384615384617,0.03076923076923077,0.046153846153846156,0.03076923076923077,0.015384615384615385,0.0,0.03076923076923077,0.07692307692307693,0.015384615384615385,0.0,0.23076923076923078,0.09230769230769231,0.15384615384615385,0.0,0.046153846153846156,0.0,0.03076923076923077,0.046153846153846156,0.18461538461538463,0.13846153846153847,0.0,0.2923076923076923,0.0,0.046153846153846156,0.0,0.046153846153846156,0.18461538461538463,0.015384615384615385,0.06153846153846154,0.03076923076923077,0.046153846153846156,0.0,0.06153846153846154,0.0,0.09230769230769231,0.3384615384615385,0.015384615384615385,0.046153846153846156,0.046153846153846156,0.1076923076923077,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.015384615384615385,0.2923076923076923,0.06153846153846154,0.26153846153846155,0.046153846153846156,0.2,0.015384615384615385,0.0,0.09230769230769231,0.26153846153846155,0.24615384615384617,0.015384615384615385,0.03076923076923077,0.0,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.046153846153846156,0.07692307692307693,0.1076923076923077,0.03076923076923077,0.015384615384615385,0.046153846153846156,0.0,0.06153846153846154,0.03076923076923077,0.24615384615384617,0.35384615384615387,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0.36923076923076925,0.13846153846153847,0.24615384615384617,0.046153846153846156,0.1076923076923077,0.2,0.046153846153846156,0.0,0.015384615384615385,0.015384615384615385,0.12307692307692308,0.2,0.0,0.07692307692307693,0.03076923076923077,0.0,0.2,0.015384615384615385,0.0,0.046153846153846156,0.06153846153846154,0.07692307692307693,0.03076923076923077,0.07692307692307693,0.36923076923076925,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.0,0.27692307692307694,0.1076923076923077,0.07692307692307693,0.03076923076923077,0.046153846153846156,0.13846153846153847,0.13846153846153847,0.36923076923076925,0.015384615384615385,0.24615384615384617,0.03076923076923077,0.24615384615384617,0.18461538461538463,0.03076923076923077,0.16923076923076924,0.015384615384615385
bar,0.05275779376498801,0.009592326139088728,0.03597122302158273,0.011990407673860911,0.009592326139088728,0.050359712230215826,0.002398081534772182,0.004796163069544364,1.0,0.016786570743405275,0.009592326139088728,0.002398081534772182,0.12709832134292565,0.019184652278177457,0.023980815347721823,0.007194244604316547,0.026378896882494004,0.002398081534772182,0.06474820143884892,0.05275779376498801,0.014388489208633094,0.009592326139088728,0.11510791366906475,0.0407673860911271,0.13189448441247004,0.009592326139088728,0.016786570743405275,0.011990407673860911,0.03597122302158273,0.04316546762589928,0.1630695443645084,0.07434052757793765,0.007194244604316547,0.18705035971223022,0.004796163069544364,0.007194244604316547,0.009592326139088728,0.02158273381294964,0.07913669064748201,0.004796163069544364,0.050359712230215826,0.03597122302158273,0.014388489208633094,0.007194244604316547,0.026378896882494004,0.03357314148681055,0.004796163069544364,0.18705035971223022,0.4988009592326139,0.06954436450839328,0.014388489208633094,0.09352517985611511,0.007194244604316547,0.02158273381294964,0.016786570743405275,0.12470023980815348,0.20863309352517986,0.08872901678657075,0.18465227817745802,0.023980815347721823,0.19904076738609114,0.12470023980815348,0.009592326139088728,0.07673860911270983,0.15347721822541965,0.12709832134292565,0.011990407673860911,0.026378896882494004,0.09352517985611511,0.05275779376498801,0.0815347721822542,0.026378896882494004,0.05755395683453238,0.004796163069544364,0.06235011990407674,0.09352517985611511,0.009592326139088728,0.002398081534772182,0.03597122302158273,0.016786570743405275,0.03117505995203837,0.014388489208633094,0.18465227817745802,0.3261390887290168,0.03597122302158273,0.03597122302158273,0.026378896882494004,0.009592326139088728,0.002398081534772182,0.014388489208633094,0.002398081534772182,0.18944844124700239,0.09832134292565947,0.1223021582733813,0.03597122302158273,0.06235011990407674,0.06954436450839328,0.014388489208633094,0.007194244604316547,0.002398081534772182,0.4052757793764988,0.0407673860911271,0.08633093525179857,0.0,0.0671462829736211,0.019184652278177457,0.004796163069544364,0.050359712230215826,0.007194244604316547,0.011990407673860911,0.009592326139088728,0.07194244604316546,0.07434052757793765,0.007194244604316547,0.0671462829736211,0.21103117505995203,0.007194244604316547,0.007194244604316547,0.0407673860911271,0.02158273381294964,0.007194244604316547,0.1606714628297362,0.05995203836930456,0.10311750599520383,0.004796163069544364,0.03597122302158273,0.05755395683453238,0.1630695443645084,0.33093525179856115,0.02158273381294964,0.09832134292565947,0.016786570743405275,0.11510791366906475,0.09592326139088729,0.014388489208633094,0.12949640287769784,0.03117505995203837
barbecue,0.06172839506172839,0.024691358024691357,0.04938271604938271,0.0,0.012345679012345678,0.06172839506172839,0.012345679012345678,0.1111111111111111,0.08641975308641975,1.0,0.0,0.012345679012345678,0.19753086419753085,0.06172839506172839,0.012345679012345678,0.0,0.012345679012345678,0.0,0.08641975308641975,0.024691358024691357,0.0,0.024691358024691357,0.18518518518518517,0.1111111111111111,0.12345679012345678,0.0,0.037037037037037035,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.07407407407407407,0.07407407407407407,0.024691358024691357,0.1728395061728395,0.0,0.012345679012345678,0.024691358024691357,0.08641975308641975,0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.0,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.06172839506172839,0.3333333333333333,0.06172839506172839,0.08641975308641975,0.0,0.09876543209876543,0.0,0.037037037037037035,0.037037037037037035,0.0,0.18518518518518517,0.1111111111111111,0.16049382716049382,0.012345679012345678,0.2716049382716049,0.0,0.037037037037037035,0.024691358024691357,0.24691358024691357,0.19753086419753085,0.012345679012345678,0.024691358024691357,0.0,0.06172839506172839,0.012345679012345678,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.06172839506172839,0.09876543209876543,0.0,0.012345679012345678,0.024691358024691357,0.0,0.012345679012345678,0.037037037037037035,0.18518518518518517,0.35802469135802467,0.0,0.04938271604938271,0.0,0.0,0.0,0.0,0.012345679012345678,0.18518518518518517,0.024691358024691357,0.18518518518518517,0.012345679012345678,0.06172839506172839,0.09876543209876543,0.024691358024691357,0.0,0.012345679012345678,0.037037037037037035,0.04938271604938271,0.1111111111111111,0.012345679012345678,0.037037037037037035,0.04938271604938271,0.0,1.0,0.0,0.0,0.012345679012345678,0.12345679012345678,0.08641975308641975,0.012345679012345678,0.12345679012345678,0.16049382716049382,0.037037037037037035,0.012345679012345678,0.012345679012345678,0.037037037037037035,0.0,0.24691358024691357,0.037037037037037035,0.04938271604938271,0.037037037037037035,0.037037037037037035,0.2345679012345679,0.2345679012345679,0.38271604938271603,0.037037037037037035,0.13580246913580246,0.037037037037037035,0.16049382716049382,0.1111111111111111,0.024691358024691357,0.12345679012345678,0.0
