antecedents,consequents,support,confidence,lift
"Bananas,Potatoes,Soap","Fish,Soda",0.02,1.0,33.333333333333336
"Cereal,Juice","Butter,Soap,Soda",0.02,1.0,33.333333333333336
"Chicken,Chips,Shampoo","Beef,Butter",0.02,1.0,33.333333333333336
"Fish,Potatoes,Soap","Bananas,Soda",0.02,1.0,33.333333333333336
"Fish,Soap,Soda","Bananas,Potatoes",0.02,1.0,33.333333333333336
"Onions,Water","Bananas,Detergent",0.02,1.0,33.333333333333336
"Shampoo,Soap,Toothpaste","Onions,Tomatoes",0.02,1.0,33.333333333333336
"Bananas,Fish,Soap","Potatoes,Soda",0.02,1.0,25.0
"Detergent,Juice","Pasta,Water",0.02,1.0,25.0
"Juice,Soap,Soda","Butter,Cereal",0.02,1.0,25.0
"Apples,Potatoes","Milk,Soap",0.02,1.0,20.0
"Bananas,Potatoes,Soda","Fish,Soap",0.02,1.0,20.0
"Beef,Butter,Shampoo","Chicken,Chips",0.02,1.0,20.0
"Beef,Chips,Shampoo","Butter,Chicken",0.02,1.0,20.0
"Beef,Rice","Chicken,Chips",0.02,1.0,20.0
"Butter,Cereal,Soap","Juice,Soda",0.02,1.0,20.0
"Butter,Juice,Soap","Cereal,Soda",0.02,1.0,20.0
"Cereal,Cookies,Shampoo","Onions,Toothpaste",0.02,1.0,20.0
"Eggs,Tomatoes","Beef,Detergent",0.02,1.0,20.0
"Onions,Shampoo,Tomatoes","Soap,Toothpaste",0.02,1.0,20.0
"Shampoo,Soap,Tomatoes","Onions,Toothpaste",0.02,1.0,20.0
"Beef,Butter,Chips","Chicken,Shampoo",0.02,1.0,16.666666666666668
"Beef,Onions,Shampoo","Cookies,Soap",0.02,1.0,16.666666666666668
"Beef,Shampoo,Soap","Cookies,Onions",0.02,1.0,16.666666666666668
"Butter,Chicken,Chips","Beef,Shampoo",0.02,1.0,16.666666666666668
"Cereal,Cookies,Onions","Shampoo,Toothpaste",0.02,1.0,16.666666666666668
"Cereal,Juice","Butter,Soap",0.02,1.0,16.666666666666668
"Cereal,Juice","Butter,Soda",0.02,1.0,16.666666666666668
"Cereal,Juice,Soap","Butter,Soda",0.02,1.0,16.666666666666668
"Cereal,Juice,Soda","Butter,Soap",0.02,1.0,16.666666666666668
"Chicken,Pasta","Beef,Chips",0.02,1.0,16.666666666666668
"Cookies,Onions,Toothpaste","Cereal,Shampoo",0.02,1.0,16.666666666666668
"Cookies,Shampoo,Toothpaste","Cereal,Onions",0.02,1.0,16.666666666666668
"Fish,Potatoes,Soda","Bananas,Soap",0.02,1.0,16.666666666666668
"Onions,Soap,Tomatoes","Shampoo,Toothpaste",0.02,1.0,16.666666666666668
"Beef,Cookies,Onions","Shampoo,Soap",0.02,1.0,14.285714285714285
"Onions,Tomatoes,Toothpaste","Shampoo,Soap",0.02,1.0,14.285714285714285
"Shampoo,Tomatoes,Toothpaste","Onions,Soap",0.02,1.0,14.285714285714285
"Butter,Cereal,Juice","Soap,Soda",0.02,1.0,12.5
"Butter,Onions","Cookies,Shampoo",0.02,1.0,12.5
"Cereal,Juice","Soap,Soda",0.02,1.0,12.5
"Bananas,Fish,Soda","Potatoes,Soap",0.02,1.0,11.11111111111111
"Apples,Milk,Soap",Potatoes,0.02,1.0,6.666666666666667
"Apples,Potatoes",Milk,0.02,1.0,6.666666666666667
"Apples,Potatoes,Soap",Milk,0.02,1.0,6.666666666666667
"Apples,Shampoo,Yogurt",Milk,0.02,1.0,6.666666666666667
"Bananas,Fish,Soap",Potatoes,0.02,1.0,6.666666666666667
"Bananas,Fish,Soap,Soda",Potatoes,0.02,1.0,6.666666666666667
"Bananas,Fish,Soda",Potatoes,0.02,1.0,6.666666666666667
"Beef,Bread,Detergent",Tomatoes,0.02,1.0,6.666666666666667
"Beef,Detergent,Eggs",Tomatoes,0.02,1.0,6.666666666666667
"Beef,Soap,Soda",Milk,0.02,1.0,6.666666666666667
"Butter,Eggs,Soap",Potatoes,0.02,1.0,6.666666666666667
"Butter,Juice,Toothpaste",Cheese,0.02,1.0,6.666666666666667
